epno,time,tstart,tend,instance,bit,elucidation,soundcloud_url,tagarray,tagarray 1,tagarray 2,tagarray 3,tagarray 4,tagarray 5,tagarray 6,soundcloud_slug,location_type,location_id,slug_earwolf,id_wikia
303,,6:19,6:43,Location,Where PFT first met Loudon Wainright III - SF Sketchfest taping of 'Wits' at Marines' Memorial Theatre,Identifiable earth location.,,Andrew Lloyd Weber,,,,,,,303-paul-f-tompkins-loudon-wainwright-iii,,,puttering-around,4819
303,,10:14,10:34,how much money do you make?,Scott asks Loudon Wainright III what his current NY address is.,Scott asks an inappropriately personal question.,,,,,,,,,303-paul-f-tompkins-loudon-wainwright-iii,,,puttering-around,4819
303,,9:11,9:23,how much money do you make?,Scott asks Loudon Wainright III what his Woodland Hills address was.,Scott asks an inappropriately personal question.,,,,,,,,,303-paul-f-tompkins-loudon-wainwright-iii,,,puttering-around,4819
303,,40:10:00,40:26:00,topping hat,Hashingtag 'Benghazi.',Dame Sir ALW speaks the Queen's English.,,Andrew Lloyd Weber,,,,,,,303-paul-f-tompkins-loudon-wainwright-iii,,,puttering-around,4819
303,,39:44:00,40:07:00,topping hat,McGruff's trenching coat,Dame Sir ALW speaks the Queen's English.,,Andrew Lloyd Weber,,,,,,,303-paul-f-tompkins-loudon-wainwright-iii,,,puttering-around,4819
303,,34:42:00,34:49:00,topping hat,Scottrick,Dame Sir ALW speaks the Queen's English.,,Andrew Lloyd Weber,,,,,,,303-paul-f-tompkins-loudon-wainwright-iii,,,puttering-around,4819
303,,1:10:18,1:10:45,the stuff of sentience,Cake Boss made a rescue flare out of cake abourd the S.S. Fondant without using too much cinnamon,cinnamon animates the inanimate,,Cake Boss,,,,,,,303-paul-f-tompkins-loudon-wainwright-iii,,,puttering-around,4819
303,,35:33:00,35:38:00,topping hat,Zachariah Galifianaiah!,Dame Sir ALW speaks the Queen's English.,,Andrew Lloyd Weber,,,,,,,303-paul-f-tompkins-loudon-wainwright-iii,,,puttering-around,4819
31,,41:11:00,41:43:00,James?,"Harris explains his foam premise by referring to 'James,' who is not a person in the studio.",a character is accidentally addressed using the name of its player,,Huel Howser,,,,,,,happy-black-friday,,,happy-black-friday,2490
31,,1:22:10,1:22:42,and this is how we play WYR,Michael Cera's 'Turkey Dad' pitch doubles as an excellent WYR question.,Scott commends some WYR gameplay,,Huel Howser,,,,,,,happy-black-friday,,,happy-black-friday,2490
31,,1:26:31,1:26:54,classic WYR blunder: a question is simply too stupid,Harris' question about being a pregnant man or *the* pregnant man is rejected.,one of several potential WYR blunders,,Huel Howser,,,,,,,happy-black-friday,,,happy-black-friday,2490
31,,1:26:15,1:26:19,classic WYR blunder: the floor is closed,Harris is admonished for even questioning one of the WYR scenarios because the floor is not yet open.,one of several potential WYR blunders,,Huel Howser,,,,,,,happy-black-friday,,,happy-black-friday,2490
32,,28:12:00,28:18:00,how much money do you make?,Scott asks Aziz how much money Steve Carrell makes.,Scott asks an inappropriately personal question.,,Stan Lee,,,,,,,raaaaaaaandy,,,raaaaaaaandy,2495
32,,11:12,11:35,how much money do you make?,Scott wants to know -- seriously -- how much money Aziz makes.,Scott asks an inappropriately personal question.,,,,,,,,,raaaaaaaandy,,,raaaaaaaandy,2495
32,,6:12,6:24,how much money do you make?,Scott wants to know if Brendon Small made more money than Mastadon.,Scott asks an inappropriately personal question.,,,,,,,,,raaaaaaaandy,,,raaaaaaaandy,2495
33,,7:23,7:33,"yes, and...",Kinane sits on his chance to sing.,"the rule of 'yes, and' is invoked or abused",,,,,,,,,welcome-to-jamrock,,,welcome-to-jamrock,2497
33,,38:15:00,39:47:00,how much money do you make?,"Scott wants to get real, so he asks Kyle and Paul F. how much money they make.",Scott asks an inappropriately personal question.,,,,,,,,,welcome-to-jamrock,,,welcome-to-jamrock,2497
33,,17:27,17:45,how much money do you make?,Kinane lives in Los Feliz.,Scott asks an inappropriately personal question.,,,,,,,,,welcome-to-jamrock,,,welcome-to-jamrock,2497
33,,39:47:00,40:10:00,how much money do you make?,Scott asks Kyle to count up his lovers.,Scott asks an inappropriately personal question.,,,,,,,,,welcome-to-jamrock,,,welcome-to-jamrock,2497
33,,4:28,4:44,Scott hates ranges,Scott pins down 'Mid-Nineties.',Scott spells out somebody's estimate,,,,,,,,,welcome-to-jamrock,,,welcome-to-jamrock,2497
33,,5:20,5:32,Batdance,Or maybe Paul Hardcastle's '19',"Scott cites, explains, or defends his favorite song",,Prince,,,,,,,welcome-to-jamrock,,,welcome-to-jamrock,2497
34,,24:29:00,25:16:00,"yes, and...",Scott asks Jon Hamm about his process.,"the rule of 'yes, and' is invoked or abused",,,,,,,,,have-a-merry-christmas,,,have-a-merry-christmas,2498
34,,1:02:39,1:02:48,James?,Scott seems unsure if Chupacabra will plug as himself or somebody else.,a character is accidentally addressed using the name of its player,,El Chupacabra,,,,,,,have-a-merry-christmas,,,have-a-merry-christmas,2498
34,,44:27:00,44:53:00,how much money do you make?,"Prodded by John C. Reilly (Tompkins), Scott asks him how much money he makes.",Scott asks an inappropriately personal question.,,John C. Reilly,,,,,,,have-a-merry-christmas,,,have-a-merry-christmas,2498
34,,6:22,7:33,how much money do you make?,Scott asks Jon Hamm how much money he makes.,Scott asks an inappropriately personal question.,,,,,,,,,have-a-merry-christmas,,,have-a-merry-christmas,2498
34,,45:06:00,45:24:00,Scott does math,Scott and Chupacabra sort out the USD-Euro exchange rate.,Scott performs fast math calculations,,John C. Reilly,,,,,,,have-a-merry-christmas,,,have-a-merry-christmas,2498
34,,44:43:00,45:06:00,Scott does math,Scott calculates John C. Reilly's (Tompkins) annual income.,Scott performs fast math calculations,,John C. Reilly,,,,,,,have-a-merry-christmas,,,have-a-merry-christmas,2498
34,,51:30:00,51:56:00,awesome and holy traitors to you,"John C. Reilly doesn't use menthol sticks, therefore needs a tear basin to catch his pooling teardrops.",someone needs the services of a tear basin,,John C. Reilly,,,,,,,have-a-merry-christmas,,,have-a-merry-christmas,2498
34,,54:31:00,55:16:00,awesome and holy traitors to you,Jon Hamm cries real tears at the end of the acting contest.,someone needs the services of a tear basin,,John C. Reilly,,,,,,,have-a-merry-christmas,,,have-a-merry-christmas,2498
34,,52:30:00,53:17:00,i can hear every word you are saying,John C. Reilly tricks Jon Hamm into removing his headphones so that he [Reilly] can lobby for votes in the acting-off. Turns out everybody could hear everything.,"despite everybody's best efforts, a private conversation is overheard",,John C. Reilly,,,,,,,have-a-merry-christmas,,,have-a-merry-christmas,2498
38,,16:26,17:09,"yes, and...",A better idea is derailed (literally?) by a worse idea when the grandmothers' trip to Cairo becomes a trip to Wal-Mart instead.,"the rule of 'yes, and' is invoked or abused",,Grandma Jonesy,,,,,,,paul-f-tompkins-steps-in,,,paul-f-tompkins-steps-in,2506
38,,53:12:00,53:40:00,"yes, and...",Coulda had Rene Russo in court. Didn't.,"the rule of 'yes, and' is invoked or abused",,,,,,,,,paul-f-tompkins-steps-in,,,paul-f-tompkins-steps-in,2506
38,,17:10,17:23,James?,Grandma fucks up her pronoun.,a character is accidentally addressed using the name of its player,,Grandma Jonesy,,,,,,,paul-f-tompkins-steps-in,,,paul-f-tompkins-steps-in,2506
39,,22:43,22:57,the CBB ODP,"Bob Ducca gets excited to hear about CBB's Open Door Policy, then is deflated to hear that it's primarily for comedians.",CBB's Open Door Policy is cited or blamed,,,,,,,,,the-premiere-of-bob-ducca,,,the-premiere-of-bob-ducca,2508
40,,9:10,9:37,you've been hearing him interrupt me,"Mr. Adomian, you're not allowed to talk.",a guest performs before they're announced,,,,,,,,,happy-valentines-day,,,happy-valentines-day,2509
40,,1:03,1:20,you've been hearing him interrupt me,Harris and Doug both prattle on and on before they are announced.,a guest performs before they're announced,,,,,,,,,happy-valentines-day,,,happy-valentines-day,2509
40,,47:47:00,47:55:00,Amy Poehler is rude,Harris rudely sings along.,some asshole talks over the wyr theme.,,Christopher Hitchens,,,,,,,happy-valentines-day,,,happy-valentines-day,2509
40,,49:04:00,49:36:00,can you repeat all of that?,The point of the entire game somehow eludes Doug.,the wyr rules confuse someone,,,,,,,,,happy-valentines-day,,,happy-valentines-day,2509
41,,53:25:00,53:36:00,and this is how we play WYR,Kumail is too eager to ask about condoms.,Scott commends some WYR gameplay,,Maya Angelou,,,,,,,winter-olympic-fever,,,winter-olympic-fever,2532
41,,55:56:00,56:11:00,and this is how we play WYR,Scott has to admit that Kumail is running away with it.,Scott commends some WYR gameplay,,Maya Angelou,,,,,,,winter-olympic-fever,,,winter-olympic-fever,2532
41,,53:55:00,54:10:00,classic WYR blunder: premature election,"Oh, Maya. You of all people.",one of several potential WYR blunders,,Maya Angelou,,,,,,,winter-olympic-fever,,,winter-olympic-fever,2532
41,,51:34:00,51:44:00,classic WYR blunder: the floor is not yet open,Kumail is too eager to ask about condoms.,one of several potential WYR blunders,,,,,,,,,winter-olympic-fever,,,winter-olympic-fever,2532
41,,1:31,1:35,number 9?,Aimee Mann is a little left and a little in front of Scott.,Scott belabors the floorplan/guest configuration at Earwolf,,,,,,,,,winter-olympic-fever,,,winter-olympic-fever,2532
42,,49:34:00,49:42:00,where are you from?,Scott find it curious that the UCB troupe has known each other just one year less than the Georgian Olympic Figure Skating Team that was in there previously.,a character detail is challenged or prompted,,,,,,,,,winter-olympic-fever-deux,,,winter-olympic-fever-deux,2533
42,,44:50:00,45:23:00,can i be a rapist?,"Scott belabors the setup, resident improv geniuses get bored.",character backstories are established through pain,,,,,,,,,winter-olympic-fever-deux,,,winter-olympic-fever-deux,2533
43,,6:34,7:05,my wife!,Inaugural My Wife!,Scott has a Borat.,,Julie Penzmere,,,,,,,good-one,,,good-one,2534
44,,23:46,24:00:00,number 9?,DSALW records his show three floors up at Indie 103.4,Scott belabors the floorplan/guest configuration at Earwolf,,Andrew Lloyd Weber,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
304,,45:37:00,46:07:00,where are you from?,Nobody can place Dabney's accent,a character detail is challenged or prompted,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler, Dabney Coleperson, Traci Reardon, Katie Wong",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,,,marissa-womplers-six-flags-birthday-womptacular,4811
304,,51:52:00,52:01:00,is this a dorf situation?,Felipe is down on both knees.,Dorf is referenced,,,,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,,,marissa-womplers-six-flags-birthday-womptacular,4811
304,,54:40:00,55:02:00,defenestration,Listler dives into the flume,Somebody exits by window or previous such events are discussed.,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,,,marissa-womplers-six-flags-birthday-womptacular,4811
304,,1:09:55,1:10:17,defenestration,Dabney dives into the flume for a second time.,Somebody exits by window or previous such events are discussed.,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler,Dabney Coleperson, Traci Reardon, Katie Wong",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,,,marissa-womplers-six-flags-birthday-womptacular,4811
304,,48:36:00,49:05:00,defenestration,Dabney dives into the flume,Somebody exits by window or previous such events are discussed.,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler,Dabney Coleperson, Traci Reardon, Katie Wong",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,,,marissa-womplers-six-flags-birthday-womptacular,4811
304,,1:13:26,1:13:34,video blog,Scott knows what an APB is.,"Scott articulates obvious data (acronyms, abbreviations, etc.)",,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler,Dabney Coleperson, Traci Reardon, Katie Wong",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,,,marissa-womplers-six-flags-birthday-womptacular,4811
304,,1:02:41,1:03:00,defenestration,Magic Mountain's wild dogs dive into the flume,Somebody exits by window or previous such events are discussed.,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler,Dabney Coleperson, Traci Reardon, Katie Wong",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,,,marissa-womplers-six-flags-birthday-womptacular,4811
304,,1:16:43,1:17:35,is this canon?,Scott hasn't seen Don Dimello since his last non-canonical appearance.,"somebody worries if this or that makes sense, canonically",,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler,Dabney Coleperson, Traci Reardon, Katie Wong, Don DiMello",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,,,marissa-womplers-six-flags-birthday-womptacular,4811
304,,1:18:21,1:18:41,Scott does math,Scott recalculates 666*3.,Scott performs fast math calculations,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler,Dabney Coleperson, Traci Reardon, Katie Wong, Don DiMello",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,,,marissa-womplers-six-flags-birthday-womptacular,4811
304,,1:17:10,1:17:32,Scott does math,Scott miscalculates 666*3.,Scott performs fast math calculations,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler, Dabney Coleperson, Traci Reardon, Katie Wong, Don DiMello",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,,,marissa-womplers-six-flags-birthday-womptacular,4811
304,,10:56,11:31,i'd love to hear it,Gutterballs has been filling his journal with poems following the death of Danielle Bartiromo,a pimping subclass: somebody is asked to recite or sing a poem or song,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,,,marissa-womplers-six-flags-birthday-womptacular,4811
304,,1:10:52,1:12:02,i'd love to hear it,"Reardon also writes poems. Limericks, mostly.",a pimping subclass: somebody is asked to recite or sing a poem or song,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler,Dabney Coleperson, Traci Reardon, Katie Wong",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,,,marissa-womplers-six-flags-birthday-womptacular,4811
304,,1:17:35,1:18:04,Location,Don Dimello's Disney's Puff the Magic Dragon,Identifiable earth location.,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler,Dabney Coleperson, Traci Reardon, Katie Wong, Don DiMello",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,point,6,marissa-womplers-six-flags-birthday-womptacular,4811
304,,1:05,1:22,Location,CBB Womps it Up from the Six Flags Magic Mountain in Valencia,Identifiable earth location.,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,point,7,marissa-womplers-six-flags-birthday-womptacular,4811
304,,50:01:00,50:40:00,Location,Felipe's Walk-In Freezer at GWU,Identifiable earth location.,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler,Dabney Coleperson, Traci Reardon, Katie Wong, Felipe, Cake Boss",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,poly,112,marissa-womplers-six-flags-birthday-womptacular,4811
304,,38:24:00,39:03:00,Location,Karim's shuttle route between Six Flags and Marina Del Rey,Identifiable earth location.,,"Marissa Wompler,Miss Listler, Eric Gutterman, Danielle Bartiromo, Dr. Seth Wompler",,,,,,,304-jessica-st-clairlennon-parhamlauren-lapkusjason-mantzoukasbrian-huskeyandy-dalymelissa-r,line,1,marissa-womplers-six-flags-birthday-womptacular,4811
44,,33:27:00,33:33:00,topping hat,Scottrick,Dame Sir ALW speaks the Queen's English.,,Andrew Lloyd Weber,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,23:21,23:25,topping hat,Scottrick,Dame Sir ALW speaks the Queen's English.,,Andrew Lloyd Weber,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,1:03:43,1:04:06,Debra!,Brad Garrett suggests a plugs theme.,Scott does his Ray Romano,,"Ray Romano,Brad Garrett",,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,27:21:00,27:49:00,where are you from?,"As a superfan of 'Weekend at Bernie's,' Dame Sir ALW certainly knows the name of the two protags.",a character detail is challenged or prompted,,Andrew Lloyd Webber,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,18:53,19:07,can i ask a question?,Chupa prefaces his question with a question about asking a question,Scott explains that permission need not be requested in order to ask a question.,,El Chupacabra,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,36:24:00,36:50:00,James?,Scott returns and suddenly some dude named Nick is around.,a character is accidentally addressed using the name of its player,,"Andrew Lloyd Webber,El Chupacabra",,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,28:31:00,29:01:00,Andrew Lloyd Webber is as straight as an arrow Is,ALW reminds us all that he's married to a bikini model,Dame Sir ALW clarifies his sexual preference,,Andrew Lloyd Webber,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,11:19,11:44,you've been hearing him interrupt me,Jason Wollner just has to show off his Weird Al trivia.,a guest performs before they're announced,,El Chupacabra,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,37:41:00,37:53:00,have we discussed this already?,Scott and Sir Dame ALW hash out his Twitter musical.,someone (usually PFT) wonders aloud if this or that strange event or fact has already been established,,Andrew Lloyd Webber,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,37:12:00,37:29:00,how many are there?,Scott wonders aloud to Sir Dame ALW what else he likes about Twitter.,a pimping subclass: somebody asks for a list of things or prompts for additional items,,Andrew Lloyd Webber,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,36:08:00,36:16:00,shut the fuck up!,Dame Sir ALW wants to hear the song.,Someone simply wants everyone else to shut the fuck up.,,Andrew Lloyd Webber,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,33:58:00,34:24:00,shut the fuck up!,Scott and Dame Sir ALW are saying the same thing but neither will concede.,Someone simply wants everyone else to shut the fuck up.,,Andrew Lloyd Webber,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,40:44:00,40:51:00,shut the fuck up!,Scott wants to hear the song.,Someone simply wants everyone else to shut the fuck up.,,Andrew Lloyd Webber,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
44,,34:41:00,34:56:00,who?,Dame Sir ALW can't resolve a Wesley Snipes reference.,Someone seems to not know an obvious reference or a very famous person.,,Andrew Lloyd Webber,,,,,,,we-got-a-caller-on-the-line,,,we-got-a-caller-on-the-line,2535
46,,1:11:53,1:12:14,"yes, and...",Turns out Jeff Garlin *doesn't* have ESP.,"the rule of 'yes, and' is invoked or abused",,Ben Alterman,,,,,,,curb-your-suicide-attempts,,,curb-your-suicide-attempts,2544
46,,1:36:13,1:36:48,where are you from?,Ben Alterman remembers all the names they've talked about today.,a character detail is challenged or prompted,,Ben Alterman,,,,,,,curb-your-suicide-attempts,,,curb-your-suicide-attempts,2544
46,,1:20:03,1:20:28,where are you from?,Everybody reminds everybody of what their name is.,a character detail is challenged or prompted,,Ben Alterman,,,,,,,curb-your-suicide-attempts,,,curb-your-suicide-attempts,2544
46,,1:05:31,1:05:42,where are you from?,Scott again wonders what the name of Ben Alterman's granddaughter was and Ben is on to him.,a character detail is challenged or prompted,,Ben Alterman,,,,,,,curb-your-suicide-attempts,,,curb-your-suicide-attempts,2544
46,,37:13:00,37:39:00,where are you from?,Scott asks Ice T to remember his father's rap name.,a character detail is challenged or prompted,,Ice T,,,,,,,curb-your-suicide-attempts,,,curb-your-suicide-attempts,2544
46,,1:13:35,1:14:01,where are you from?,Scott is so worried Ben Alterman won't admit to rubbing semen all over his face that he asks point blank.,a character detail is challenged or prompted,,Ben Alterman,,,,,,,curb-your-suicide-attempts,,,curb-your-suicide-attempts,2544
46,,1:05:37,1:06:07,where are you from?,Scott seems to have forgotten the name of Ben Alterman's daughter.,a character detail is challenged or prompted,,Ben Alterman,,,,,,,curb-your-suicide-attempts,,,curb-your-suicide-attempts,2544
46,,1:04:22,1:04:33,where are you from?,Scott wonders what the name of Ben Alterman's granddaughter was and Ben knows.,a character detail is challenged or prompted,,Ben Alterman,,,,,,,curb-your-suicide-attempts,,,curb-your-suicide-attempts,2544
46,,1:07:39,1:08:27,you've been hearing him interrupt me,"Jeff Garlin hears a great joke, can't not participate.",a guest performs before they're announced,,Ben Alterman,,,,,,,curb-your-suicide-attempts,,,curb-your-suicide-attempts,2544
46,,5:41,5:56,have we discussed this already?,Scott seems to already know how Ice T burrowed into the studio.,someone (usually PFT) wonders aloud if this or that strange event or fact has already been established,,Ice T,,,,,,,curb-your-suicide-attempts,,,curb-your-suicide-attempts,2544
46,,27:24:00,29:09:00,Ice T fouls himself,Ice T Causes Crib Death.,Ice T's new venture is dead in the water.,,Ice T,,,,,,,curb-your-suicide-attempts,,,curb-your-suicide-attempts,2544
46,,34:57:00,35:34:00,how much money do you make?,Scott resurrects his most inappropriate question for Ben Stiller.,Scott asks an inappropriately personal question.,,,,,,,,,curb-your-suicide-attempts,,,curb-your-suicide-attempts,2544
47,,1:07:19,1:09:12,"goddammit, engineer _____",Engineer Stuart exonerates himself after a harsh rebuke from Scott.,Scott yells at the staff.,,Barry R.,,,,,,,happy-chap,,,happy-chap,2545
47,,1:05:11,1:05:24,"goddammit, engineer _____",Engineer Stuart wasn't ready for stuff like this.,Scott yells at the staff.,,Barry R.,,,,,,,happy-chap,,,happy-chap,2545
47,,1:13:18,1:13:34,"goddammit, engineer _____",Last chance of the day for Engineer Stuart and he blows it.,Scott yells at the staff.,,Barry R.,,,,,,,happy-chap,,,happy-chap,2545
47,,1:00:50,1:01:03,"yes, and...",Scott ices Greg Proops' prompt for an impression of The Love Guru's Beavis and Butthead impression.,"the rule of 'yes, and' is invoked or abused",,Barry R.,,,,,,,happy-chap,,,happy-chap,2545
47,,59:00:00,59:26:00,and this is how we play WYR,"Barry R nails his question about whether the tsunami started by a failure to do an Austin Powers impression could be, in turn, stemmed by a Borat impression.",Scott commends some WYR gameplay,,Barry R.,,,,,,,happy-chap,,,happy-chap,2545
47,,57:40:00,57:50:00,and this is how we play WYR,Greg Proops redeems himself by rephrasing his question about Scott's Austin Powers impression.,Scott commends some WYR gameplay,,Barry R.,,,,,,,happy-chap,,,happy-chap,2545
47,,57:28:00,57:50:00,classic WYR blunder: a question is simply too stupid,"Greg Proops has been briefed, but still asks Scott how *his* Austin Powers impression would go.",one of several potential WYR blunders,,Barry R.,,,,,,,happy-chap,,,happy-chap,2545
47,,59:11:00,59:26:00,my wife!,My Wife! as an example of how to stop a tsunami.,Scott has a Borat.,,Barry R.,,,,,,,happy-chap,,,happy-chap,2545
47,,54:21:00,54:44:00,Amy Poehler is rude,Scott prompts commentary then shuts it down.,some asshole talks over the wyr theme.,,Barry R.,,,,,,,happy-chap,,,happy-chap,2545
47,,1:06:47,1:07:19,too soon,Greg Proops has a 'Too Soon' joke in his quiver and a history of abusing it correctly.,"Someone uses, misuses, or riffs on 'too soon.'",,Barry R.,,,,,,,happy-chap,,,happy-chap,2545
48,,20:34,20:57,where are you from?,J. Montgomery Scott's Alan Thicke trivia gets foggy.,a character detail is challenged or prompted,,"Borat,J. Montgomery Scott,Alan Thicke",,,,,,,in-the-thicke-of-the-night,,,in-the-thicke-of-the-night,2596
49,,1:03:01,1:03:31,"goddammit, engineer _____","Always have a backup, Engineer Stu.",Scott yells at the staff.,,,,,,,,,family-counseling,,,family-counseling,2603
49,,1:07:07,1:07:27,"goddammit, engineer _____",Engineer Stu can't even break into the conversation right.,Scott yells at the staff.,,"James McDowell, Cathy McDowell",,,,,,,family-counseling,,,family-counseling,2603
49,,43:39:00,43:53:00,I wish we had time to get into that,Scott intends to one day talk about how Adam Scott lived in Old Town,Scott bemoans a lack of time to get into this or that topic.,,,,,,,,,family-counseling,,,family-counseling,2603
49,,1:06:01,1:06:51,"goddammit, engineer _____",Scott blames Engineer Stu for the failure of Jukebox Jury.,Scott yells at the staff.,,"James McDowell, Cathy McDowell",,,,,,,family-counseling,,,family-counseling,2603
50,,52:21:00,53:00:00,"goddammit, engineer _____",Scott is still displeased with Stu's preparation for Jukebox Jury.,Scott yells at the staff.,,,,,,,,,a-thrilling-hour-or-so,,,a-thrilling-hour-or-so,2609
50,,34:58:00,35:15:00,"yes, and...","Scott isn't sure if his blue shirt is too small, so it's a Yes, And...","the rule of 'yes, and' is invoked or abused",,Michael Crappaport,,,,,,,a-thrilling-hour-or-so,,,a-thrilling-hour-or-so,2609
50,,17:14,17:22,how much money do you make?,Scott asks Harry Houdini how much he pulls down in a year.,Scott asks an inappropriately personal question.,,Harry Houdini,,,,,,,a-thrilling-hour-or-so,,,a-thrilling-hour-or-so,2609
51.1,,16:08,16:27,good one,Tig's Garfunkel & Oates,The Good One Robot appears or is referenced.,,"Garfunkel & Oates, Taylor Dayne",,,,,,,one-year-anniversary-party,,,one-year-anniversary-party,2617
51.1,,17:05,17:20,good one,Taylor Dayne's biggest fan.,The Good One Robot appears or is referenced.,,,,,,,,,one-year-anniversary-party,,,one-year-anniversary-party,2617
51.1,,3:26,3:46,good one,Good one.,The Good One Robot appears or is referenced.,,,,,,,,,one-year-anniversary-party,,,one-year-anniversary-party,2617
51.1,,47:07:00,48:07:00,how many are there?,Scott wants to know where else Huell Howser and Jesse Ventura have been in California. Ventura shuts him down.,a pimping subclass: somebody asks for a list of things or prompts for additional items,,"Huell Howser, Jesse Ventura",,,,,,,one-year-anniversary-party,,,one-year-anniversary-party,2617
51.1,,22:28,22:54,Scott does math,Scott calculates a half dozen.,Scott performs fast math calculations,,John C. Reilly,,,,,,,one-year-anniversary-party,,,one-year-anniversary-party,2617
51.1,,30:28:00,30:38:00,topping hat,'I have a slingshut.',Dame Sir ALW speaks the Queen's English.,,Andrew Lloyd Weber,,,,,,,one-year-anniversary-party,,,one-year-anniversary-party,2617
51.1,,32:07:00,32:14:00,topping hat,Scottrick,Dame Sir ALW speaks the Queen's English.,,Andrew Lloyd Weber,,,,,,,one-year-anniversary-party,,,one-year-anniversary-party,2617
73,,21:30,22:22,Jelloem,'I wish I had Titties',Bill Cosby Bukowski reads a Jelloem,,Bill Cosby Bukowski,,,,,,,featuring-betty-white,,,featuring-betty-white,2717
73,,23:07,22:22,Jelloem,'Who\'s the Most Fuckable Huxtable?',Bill Cosby Bukowski reads a Jelloem,,"Bill Cosby Bukowski, The Huxtables",,,,,,,featuring-betty-white,,,featuring-betty-white,2717
